Query ID	Predicted EC number
B446_RS32145	EC:3.5.1.4
B446_RS32200	EC:3.5.1.88
B446_RS32240	EC:3.6.3.5
B446_RS32370	EC:3.6.3.17
B446_RS32395	EC:3.4.11.5
B446_RS32535	EC:2.7.6.1
B446_RS32665	EC:2.7.11.1
B446_RS32680	EC:1.10.3.2
B446_RS32720	EC:2.1.1.297
B446_RS32795	EC:6.2.1.3
B446_RS32800	EC:6.2.1.3
B446_RS32835	EC:1.9.3.1
B446_RS32850	EC:5.1.3.13
B446_RS32935	EC:2.7.4.1
B446_RS33020	EC:1.9.3.1
B446_RS33410	EC:2.8.1.7
B446_RS33560	EC:2.7.13.3
B446_RS33715	EC:2.1.1.77
B446_RS33750	EC:4.1.1.11
B446_RS33800	EC:1.3.1.86
B446_RS33830	EC:4.3.2.1
B446_RS33905	EC:6.2.1.3
B446_RS33905	EC:3.6.4.13
B446_RS36265	EC:2.7.11.1
B446_RS34365	EC:1.18.1.3
B446_RS34440	EC:5.4.3.2
B446_RS37745	EC:2.7.13.3
B446_RS34770	EC:3.5.1.115
B446_RS34865	EC:2.7.13.3
B446_RS34875	EC:2.7.7.6
B446_RS01635	EC:2.3.1.94
B446_RS36720	EC:2.3.1.94
B446_RS36735	EC:2.3.1.239
B446_RS03350	EC:1.14.21.7
B446_RS04515	EC:3.2.1.165
B446_RS06230	EC:2.3.1.233
B446_RS06235	EC:1.14.21.7
B446_RS07785	EC:2.4.1.345
B446_RS08460	EC:3.5.1.119
B446_RS08510	EC:2.1.1.13
B446_RS09680	EC:1.14.11.55
B446_RS10575	EC:1.4.7.1
B446_RS11135	EC:2.4.1.346
B446_RS12735	EC:1.7.1.15
B446_RS12860	EC:2.5.1.88
B446_RS13325	EC:1.14.13.232
B446_RS13425	EC:1.14.13.232
B446_RS14555	EC:3.6.3.48
B446_RS15015	EC:3.2.1.164
B446_RS15195	EC:2.5.1.65
B446_RS15205	EC:3.13.1.6
B446_RS16790	EC:1.11.1.22
B446_RS18865	EC:1.11.1.19
B446_RS19875	EC:2.3.1.165
B446_RS23715	EC:5.3.2.2
B446_RS23835	EC:1.14.19.9
B446_RS23970	EC:1.14.11.39
B446_RS24715	EC:1.14.13.106
B446_RS26725	EC:2.6.1.22
B446_RS26760	EC:3.4.24.85
B446_RS28760	EC:4.2.3.146
B446_RS29225	EC:4.1.1.47
B446_RS29425	EC:1.14.13.185
B446_RS29490	EC:1.14.19.4
B446_RS29730	EC:2.1.1.n11
B446_RS29760	EC:1.14.11.35
B446_RS29770	EC:1.1.1.340
B446_RS29775	EC:1.14.13.171
B446_RS29780	EC:1.14.11.36
B446_RS29795	EC:1.14.13.133
B446_RS30820	EC:2.7.1.187
B446_RS31370	EC:1.14.21.7
B446_RS31860	EC:2.4.1.342
B446_RS32985	EC:1.2.99.8
B446_RS37610	EC:2.3.1.239
B446_RS37625	EC:2.3.1.94
B446_RS33725	EC:2.3.1.94
