REACT_143738	MNXR78385
35115	MNXR60936
35114	MNXR11289
35113	MNXR11289
35112	MNXR11289
35111	MNXR11289
35110	MNXR65711
32468	MNXR26839
32469	MNXR26839
ADNCYC	MNXR485
32467	MNXR26839
32464	MNXR26838
19765	MNXR70808
32462	MNXR5286
32463	MNXR26838
REACT_78828	MNXR78442
32461	MNXR5286
2.5.1.60-RXN	MNXR71168
REACT_114144	MNXR78492
REACT_114141	MNXR78634
SYDDEHYD-RXN	MNXR6967
rxn07517	MNXR75151
RXN-10908	MNXR54917
RXN-10909	MNXR69880
RXN-10902	MNXR21097
RXN-10903	MNXR76568
RXN-10900	MNXR21095
RXN-10901	MNXR21096
RXN-10906	MNXR69879
RXN-10907	MNXR68204
RXN-10904	MNXR21099
RXN-10905	MNXR76569
RXN01094	MNXR4895
RXN01095	MNXR5997
RXN01096	MNXR56314
RXN01097	MNXR2339
RXN01090	MNXR70381
RXN01091	MNXR1028
RXN01092	MNXR5996
RXN01093	MNXR69833
SERINE--PYRUVATE-AMINOTRANSFERASE-RXN	MNXR4896
AVITE1t	MNXR30791
RXN01098	MNXR56584
RXN01099	MNXR70382
rxn07510	MNXR75146
REACT_145040	MNXR78749
RXN-4725	MNXR63248
RXN-4726	MNXR60646
RXN-4727	MNXR63249
REACT_145044	MNXR50830
RXN-4721	MNXR63244
RXN-4722	MNXR63245
RXN-4723	MNXR63246
RXN-4728	MNXR77483
RXN-4729	MNXR63251
REACT_128416	MNXR73763
REACT_128417	MNXR78521
REACT_101072	MNXR1869
REACT_101075	MNXR78344
26458	MNXR71234
30731	MNXR68266
26456	MNXR8996
26457	MNXR8996
26454	MNXR8996
26455	MNXR8996
26452	MNXR8995
REACT_13770	MNXR79024
REACT_13773	MNXR79025
26451	MNXR8995
RIBOSYLHOMOCYSTEINASE-RXN	MNXR69859
REACT_82376	MNXR4871
30735	MNXR3547
RXN-14106	MNXR15893
RXN-14107	MNXR77401
RXN-14104	MNXR25051
RXN-14105	MNXR26567
RXN-14102	MNXR14884
RXN-14103	MNXR74088
RXN-14100	MNXR68658
RXN-14101	MNXR15906
17603	MNXR4586
RXN-14108	MNXR77402
RXN-14109	MNXR58287
BR36720_WOP	MNXR7181
UCR05046	MNXR74387
rxn01324	MNXR12169
2.4.1.229-RXN	MNXR61563
MMUM-RXN	MNXR69220
3.1.3.72-RXN	MNXR7625
2.4.1.54-RXN	MNXR71129
CAIE-RXN	MNXR20181
UCR00619	MNXR69979
UCR00617	MNXR69991
UCR00611	MNXR81278
31465	MNXR57565
FDH2	MNXR68954
FDH3	MNXR68955
31464	MNXR57565
REACT_98920	MNXR78428
13511	MNXR70013
G14T11g	MNXR55482
AMINOACYLASE-RXN	MNXR76202
REACT_113264	MNXR1868
REACT_113260	MNXR78285
6.3.2.30-RXN	MNXR76175
BS386329	MNXR12485
BS386328	MNXR12484
BS386327	MNXR12483
BS386326	MNXR12482
BS386325	MNXR12481
BS386324	MNXR12480
BS386323	MNXR12479
BS386322	MNXR12478
BS386321	MNXR12477
FDHr	MNXR2200
DHAtpp	MNXR1541
CPGNUtpp	MNXR68577
REACT_134457	MNXR71910
REACT_134455	MNXR78443
REACT_111067	MNXR78427
REACT_133106	MNXR78680
REACT_133107	MNXR78878
CYTDt	MNXR1378
CYTDn	MNXR1374
33279	MNXR9384
REACT_132853	MNXR78617
REACT_132854	MNXR78949
33274	MNXR79387
11306	MNXR5684
NACHEXA21ly	MNXR3731
33276	MNXR73938
5HOXINDACTOXm	MNXR275
33277	MNXR73938
rxn03359	MNXR50748
rxn03358	MNXR68181
REACT_137374	MNXR78290
rxn03355	MNXR27289
33270	MNXR26560
rxn03357	MNXR74353
rxn03356	MNXR68281
rxn03351	MNXR59733
rxn03350	MNXR15823
rxn03353	MNXR15825
rxn03352	MNXR71895
18617	MNXR4383
33273	MNXR79387
AFLATOXINte	MNXR54991
24036	MNXR35474
24037	MNXR35474
24034	MNXR7134
24035	MNXR7134
24032	MNXR7134
24033	MNXR7134
24030	MNXR33463
24031	MNXR33463
QMO3	MNXR26699
QMO2	MNXR55870
BS415519	MNXR9619
BS415518	MNXR14235
24038	MNXR35474
24039	MNXR35474
RXN4FS-10	MNXR24615
RXN4FS-11	MNXR78085
RXN4FS-12	MNXR78086
RXN4FS-13	MNXR78087
RXN4FS-14	MNXR78088
PA_HStn	MNXR4110
BS358287	MNXR69528
MONOPHENOL-MONOOXYGENASE-RXN	MNXR26404
ACYLGLYCEROL-KINASE-RXN	MNXR56149
rxn05988	MNXR7434
rxn05989	MNXR14799
rxn05982	MNXR14791
rxn05983	MNXR71187
rxn05980	MNXR79971
rxn05981	MNXR79972
rxn05986	MNXR79974
rxn05987	MNXR73762
rxn05984	MNXR14792
rxn05985	MNXR79973
REACT_103002	MNXR515
REACT_103006	MNXR26177
RXN-13226	MNXR62852
RXN-13227	MNXR62853
RXN-13224	MNXR62850
RXN-13225	MNXR62851
RXN-13222	MNXR75788
RXN-13223	MNXR77043
RXN-13220	MNXR77042
RXN-13221	MNXR60981
BR37180	MNXR70917
BR37182	MNXR7426
BR37183	MNXR70918
BR37184	MNXR70919
BR37185	MNXR2828
RXN-13228	MNXR62854
RXN-13229	MNXR77044
REACT_136428	MNXR78900
REACT_136425	MNXR78565
REACT_136427	MNXR78626
REACT_136421	MNXR78921
REACT_32040	MNXR78267
rxn02408	MNXR57570
rxn02409	MNXR79615
rxn02406	MNXR63182
rxn02407	MNXR1852
rxn02404	MNXR3175
rxn02405	MNXR69298
rxn02402	MNXR69544
rxn02403	MNXR7279
R223-RXN	MNXR2041
rxn02401	MNXR3821
BS375105	MNXR69216
REACT_87932	MNXR8924
25203	MNXR5933
PHOSPHOLIPASE-C-RXN	MNXR70334
REACT_79309	MNXR78415
HCITSm	MNXR10436
BS413382_WOP	MNXR73440
rxn07765	MNXR60593
BS375102	MNXR8680
REACT_127975	MNXR78839
REACT_127971	MNXR60503
REACT_127972	MNXR78770
REACT_127973	MNXR78960
BS398759	MNXR13092
BS398758	MNXR13091
BS398751	MNXR13089
CLPNS180pp	MNXR68548
BS398756	MNXR73124
RXN-12178	MNXR76844
RXN-12171	MNXR73807
RXN-12173	MNXR76840
RXN-12172	MNXR76839
RXN-12175	MNXR76842
RXN-12174	MNXR76841
RXN-12177	MNXR76843
RXN-12176	MNXR21969
23354	MNXR30569
23355	MNXR30569
23352	MNXR30569
23353	MNXR30569
23350	MNXR76158
23351	MNXR76158
ALAALAD	MNXR612
REACT_144474	MNXR74278
R130-RXN	MNXR76438
REACT_159308	MNXR78308
UCR01321	MNXR70464
ALAALAr	MNXR614
DHPTtm	MNXR1592
rxn14027	MNXR48853
PHDCATA	MNXR69705
REACT_135196	MNXR3189
REACT_85390	MNXR78678
REACT_135193	MNXR78957
REACT_33712	MNXR69790
R322-RXN	MNXR4564
REACT_135198	MNXR78807
BR49242	MNXR9090
BR49243	MNXR71601
BR49240	MNXR71599
REACT_162318	MNXR79135
BR49246	MNXR71602
BR49247	MNXR9095
BR49244	MNXR9092
BR49245	MNXR9093
rxn06402	MNXR74085
rxn06403	MNXR66939
rxn06400	MNXR71247
rxn06401	MNXR70321
rxn06406	MNXR80068
rxn06407	MNXR80069
rxn06404	MNXR70810
rxn06405	MNXR70814
FA80tp	MNXR1983
BS399089	MNXR58783
NDH-1	MNXR69524
BS399083	MNXR58779
BS399081	MNXR58778
BS399087	MNXR73173
BS399084	MNXR73172
BS399085	MNXR58781
BR49300	MNXR65743
DM_bvite(c)	MNXR985
BTNt2m	MNXR972
BTNt2i	MNXR972
rxn12616	MNXR80867
BR49805	MNXR71759
rxn12614	MNXR80866
PLIPA2G140pp	MNXR69758
rxn12615	MNXR29558
rxn12612	MNXR29555
BS357175	MNXR10602
12968	MNXR26312
PDXPP	MNXR4141
rxn12610	MNXR29553
rxn12611	MNXR80865
REACT_75749	MNXR3189
6-HYDROXYMELLEIN-O-METHYLTRANSFERASE-RXN	MNXR7662
REACT_90269	MNXR78627
3.6.3.8-RXN	MNXR1035
CYSDabcpp	MNXR1345
12961	MNXR8348
REACT_31712	MNXR78315
REACT_163044	MNXR79125
BR48110	MNXR71356
BR48113	MNXR71357
BR48112	MNXR57157
REACT_139748	MNXR2856
BR48114	MNXR71358
REACT_163042	MNXR79145
BR48119	MNXR1918
BR48118	MNXR70401
rxn05171	MNXR19979
rxn05170	MNXR3403
rxn05177	MNXR5051
rxn05176	MNXR5156
rxn05175	MNXR4889
rxn05174	MNXR19978
REACT_759	MNXR79199
REACT_758	MNXR25046
REACT_34079	MNXR78583
REACT_34078	MNXR25092
REACT_107192	MNXR78530
REACT_34074	MNXR1181
G13MT_U	MNXR55479
REACT_129119	MNXR78847
G13MT_L	MNXR55478
REACT_129117	MNXR4653
NAtex	MNXR3782
REACT_102678	MNXR25083
33366	MNXR38088
33367	MNXR24820
33364	MNXR38088
33365	MNXR38088
33363	MNXR38088
REACT_161680	MNXR4593
HMGCOASi	MNXR2982
REACT_161684	MNXR3783
33368	MNXR24820
33369	MNXR24820
10376	MNXR19990
10377	MNXR19990
10374	MNXR6305
rxn00050	MNXR39764
DNDPt33m	MNXR55249
10372	MNXR6305
RETI3	MNXR4608
10373	MNXR6305
REACT_89939	MNXR78320
2.4.1.160-RXN	MNXR56879
BS369874	MNXR3690
REACT_89933	MNXR78236
DOLICHOL_Lter	MNXR1732
3.4.23.29-RXN	MNXR76137
LTC4Sr	MNXR3342
REACT_158625	MNXR65044
UCR06897	MNXR59732
UCR06895	MNXR1273
DCSPTN1COAtx	MNXR68666
3.1.1.47-RXN	MNXR6275
3.2.1.153-RXN	MNXR61696
SGPL12r	MNXR4830
16540	MNXR8722
2.4.1.207-RXN	MNXR19468
PYRUVFORMLY-RXN	MNXR4175
REACT_29655	MNXR346
NO3R1bpp	MNXR55772
1.3.3.11-RXN	MNXR19275
REACT_81557	MNXR78426
RXN-11718	MNXR76739
ABUTt4(2)r	MNXR339
REACT_104201	MNXR70841
REACT_114257	MNXR1551
RXN01528	MNXR5141
RXN01529	MNXR65542
REACT_104207	MNXR5082
REACT_104206	MNXR24951
RXN-8441	MNXR70113
RXN-8440	MNXR37798
RXN-8443	MNXR3821
RXN-8442	MNXR63535
RXN01520	MNXR70501
RXN01521	MNXR5840
RXN-8447	MNXR60406
RXN01523	MNXR70076
RXN-11719	MNXR21671
RXN-11196	MNXR76640
RXN-11197	MNXR21302
RXN-11194	MNXR76639
RXN-11195	MNXR21300
RXN-11192	MNXR1238
RXN-11193	MNXR62325
RXN-11190	MNXR8917
RXN-11191	MNXR71535
REACT_95562	MNXR2549
REACT_110265	MNXR78547
RXN-11198	MNXR76641
RXN-11199	MNXR21304
RXN-10829	MNXR18462
RXN-10828	MNXR18461
RXN-10825	MNXR21051
RXN-10824	MNXR60973
RXN-10827	MNXR18460
RXN-10826	MNXR21052
RXN-10821	MNXR9221
RXN-10823	MNXR76551
RXN-10822	MNXR37328
BS413571	MNXR73460
REACT_97589	MNXR78587
TYRTRS	MNXR39679
BS364278	MNXR72260
REACT_97583	MNXR25170
REACT_97580	MNXR78530
REACT_97584	MNXR4978
REACT_127787	MNXR78308
BS402438	MNXR55638
REACT_82607	MNXR78461
REACT_127782	MNXR78953
REACT_155366	MNXR65012
BS402432	MNXR73202
BS402433	MNXR13336
REACT_82608	MNXR31729
BS402437	MNXR73204
H2td	MNXR69200
BS413578	MNXR14182
REACT_80604	MNXR78300
REACT_80600	MNXR78643
REACT_80608	MNXR281
16172	MNXR32767
16173	MNXR8023
16170	MNXR32767
16171	MNXR32767
16176	MNXR8023
16177	MNXR4570
16174	MNXR8023
16175	MNXR8023
RXN00695	MNXR70284
RXN00694	MNXR1048
16178	MNXR4570
16179	MNXR4570
RXN00691	MNXR5781
RXN00690	MNXR33986
RXN00693	MNXR70283
RXN00692	MNXR55998
TMNDNCt	MNXR5110
17224	MNXR5009
17221	MNXR5009
17220	MNXR33807
17223	MNXR5009
17222	MNXR5009
19844	MNXR26440
11689	MNXR48611
11688	MNXR48611
11685	MNXR8031
11684	MNXR8031
11687	MNXR8031
11686	MNXR8031
11681	MNXR32727
11680	MNXR32727
11683	MNXR32727
11682	MNXR32727
BR22714	MNXR6634
REACT_107797	MNXR24683
REACT_113713	MNXR78400
REACT_107793	MNXR5387
REACT_113711	MNXR78488
REACT_113710	MNXR78619
14982	MNXR3030
16796	MNXR4382
16794	MNXR4382
16795	MNXR4382
16792	MNXR14788
16793	MNXR4382
16790	MNXR14788
16791	MNXR14788
LYSRC	MNXR3352
21059	MNXR5629
21058	MNXR5629
FA141tp	MNXR50882
rxn08128	MNXR68353
rxn08127	MNXR68352
rxn08126	MNXR68351
rxn08125	MNXR68348
rxn08124	MNXR68347
rxn08123	MNXR68346
rxn08122	MNXR30695
rxn08120	MNXR68345
REACT_29860	MNXR78299
CADVtpp	MNXR1040
REACT_29866	MNXR58306
RXN0-4281	MNXR683
REACT_108647	MNXR78229
PPRDNDH	MNXR4413
REACT_108641	MNXR2705
REACT_108643	MNXR78258
REACT_92325	MNXR24899
21053	MNXR7179
10798	MNXR6789
10799	MNXR6789
REACT_10122	MNXR5471
10794	MNXR592
10795	MNXR592
10796	MNXR6789
10797	MNXR6789
REACT_10129	MNXR17195
10791	MNXR8260
10792	MNXR592
10793	MNXR592
21686	MNXR8404
21687	MNXR8404
BS407118	MNXR13645
21685	MNXR8404
21682	MNXR7198
21683	MNXR7198
21680	MNXR7198
21681	MNXR7198
BS407112	MNXR13641
21057	MNXR5629
BS407117	MNXR13644
BS407114	MNXR13643
BS407115	MNXR590
RXN00538	MNXR32742
12338	MNXR7143
12339	MNXR7143
12334	MNXR2227
12335	MNXR2227
12336	MNXR7143
12337	MNXR7143
12332	MNXR2227
12333	MNXR2227
REACT_92327	MNXR4195
29088	MNXR26688
29089	MNXR26688
3.4.22.57-RXN	MNXR61796
29080	MNXR69308
29081	MNXR69308
29082	MNXR69308
29083	MNXR69427
29084	MNXR69427
29085	MNXR69427
29086	MNXR69427
29087	MNXR26688
3.4.22.35-RXN	MNXR76137
REACT_115714	MNXR2338
REACT_115716	MNXR78464
REACT_115711	MNXR588
REACT_115710	MNXR5115
REACT_115712	MNXR78308
BS323366	MNXR10489
REACT_132528	MNXR78339
REACT_147741	MNXR64990
REACT_132527	MNXR4909
REACT_132526	MNXR78885
REACT_132520	MNXR3412
RXN3O-227	MNXR78072
24331	MNXR6371
24330	MNXR6371
24337	MNXR73493
24336	MNXR73493
24339	MNXR73493
24338	MNXR73493
HEX4	MNXR2949
CEPTC	MNXR1107
RXN-13758	MNXR77168
RXN-13759	MNXR77169
RXN-13756	MNXR77166
RXN-13757	MNXR77167
RXN-13754	MNXR61439
RXN-13755	MNXR77165
RXN-13752	MNXR61417
RXN-13753	MNXR77164
RXN-13750	MNXR77163
RXN-13751	MNXR61394
THIOESTER-RXN	MNXR64197
rxn02396	MNXR7628
rxn02397	MNXR74069
rxn02394	MNXR72519
rxn02395	MNXR6889
rxn02392	MNXR68157
rxn02393	MNXR119
rxn02390	MNXR15314
rxn02391	MNXR70575
RAHY	MNXR69842
rxn02398	MNXR7112
RXN-821	MNXR77663
REACT_105930	MNXR25169
BS370486	MNXR11199
REACT_105932	MNXR657
BS370484	MNXR11197
REACT_105934	MNXR78435
BS370482	MNXR11195
REACT_105936	MNXR78576
BS370480	MNXR72471
REACT_105938	MNXR24909
BS370488	MNXR8176
REACT_144218	MNXR78285
REACT_97724	MNXR25147
1.14.13.70-RXN	MNXR6796
27680	MNXR69535
27681	MNXR69535
27682	MNXR69532
27683	MNXR69532
27684	MNXR69532
27685	MNXR69532
27686	MNXR69528
27687	MNXR69528
27688	MNXR69528
27689	MNXR69528
REACT_100261	MNXR78249
RXN0-1941	MNXR11371
REACT_100267	MNXR78250
REACT_100264	MNXR3099
RXN-12401	MNXR22115
RXN-12400	MNXR22118
RXN-12402	MNXR22119
RXN-12405	MNXR76883
RXN-12404	MNXR74726
RXN-12407	MNXR36566
RXN-12406	MNXR22122
RXN-12409	MNXR22124
REACT_130962	MNXR78768
REACT_96043	MNXR78240
REACT_96045	MNXR3100
REACT_130965	MNXR3189
REACT_96047	MNXR856
RXN0-3542	MNXR69947
RXN0-3543	MNXR68153
FUCACGALFUCGALACGLCGALGLUSIDEte	MNXR55444
FUCACGALFUCGALACGLCGALGLUSIDEtg	MNXR55444
2.3.1.148-RXN	MNXR75982
REACT_156504	MNXR65019
rxn12258	MNXR29317
33157	MNXR79383
REACT_156506	MNXR65052
2.4.1.157-RXN	MNXR71248
BR11750	MNXR70549
BR11753	MNXR70551
BR11752	MNXR70550
BR11755	MNXR70553
BR11754	MNXR70552
BR11757	MNXR70555
BR11756	MNXR70554
UCR01049	MNXR71283
REACT_141192	MNXR78832
REACT_141193	MNXR78963
REACT_141191	MNXR78838
REACT_100885	MNXR25046
UCR01047	MNXR70808
REACT_141199	MNXR78946
REACT_130389	MNXR50830
REACT_130384	MNXR78872
REACT_130383	MNXR78660
REACT_130382	MNXR78694
REACT_101137	MNXR78275
GLUTCOADHm	MNXR69169
PAPt	MNXR4105
GLUTCOADHc	MNXR69169
REACT_101138	MNXR25009
BR29168	MNXR132
32167	MNXR62767
32166	MNXR62766
32165	MNXR62766
32164	MNXR62766
32163	MNXR62766
REACT_31368	MNXR78429
32169	MNXR62767
32168	MNXR62767
REACT_138581	MNXR78854
rxn12007	MNXR80767
REACT_138584	MNXR5387
REACT_83704	MNXR4138
REACT_138589	MNXR78626
REACT_99173	MNXR72026
REACT_99172	MNXR78362
BS358713	MNXR10628
REACT_1629	MNXR5082
REACT_1627	MNXR79156
REACT_31363	MNXR79025
REACT_9430	MNXR78434
REACT_140828	MNXR78901
REACT_9436	MNXR5289
REACT_140821	MNXR78807
REACT_140820	MNXR3189
REACT_140823	MNXR2856
REACT_83702	MNXR1037
REACT_140825	MNXR78631
REACT_135600	MNXR64281
REACT_140826	MNXR78841
UER00105	MNXR71767
UER00104	MNXR69289
UER00107	MNXR382
UER00106	MNXR30582
UER00101	MNXR341
UER00100	MNXR68753
UER00103	MNXR2981
UER00102	MNXR2982
1.14.13.72-RXN	MNXR75909
UER00109	MNXR30610
UER00108	MNXR571
MESCOALm	MNXR55705
REACT_20564	MNXR78883
COabc	MNXR1229
RXN0-5205	MNXR5385
REACT_126226	MNXR78728
RXN-9143	MNXR23647
REACT_85112	MNXR24914
RXN-9141	MNXR23645
REACT_83405	MNXR78358
RXN-9147	MNXR23651
RXN-9146	MNXR23650
RXN-9145	MNXR23649
REACT_33592	MNXR69522
RXN-9149	MNXR23653
RXN-9148	MNXR63702
REACT_133607	MNXR78811
REACT_153006	MNXR78283
REACT_125947	MNXR78768
GALCTt2r	MNXR2505
REACT_125946	MNXR70581
14022	MNXR26328
14023	MNXR26328
14020	MNXR4644
14021	MNXR26328
14026	MNXR70674
14027	MNXR70674
14024	MNXR26328
14025	MNXR70674
14028	MNXR70674
14029	MNXR28267
13708	MNXR56872
11394	MNXR3527
REACT_33598	MNXR78513
FE3HOXUtex	MNXR68972
3.2.1.99-RXN	MNXR19809
18239	MNXR7211
18238	MNXR7211
3-HYDROXYANTHRANILATE-OXIDASE-RXN	MNXR7210
33618	MNXR2008
33619	MNXR1998
33616	MNXR2008
18232	MNXR2759
18231	MNXR2759
18230	MNXR2759
18237	MNXR7211
BS189660	MNXR10081
33610	MNXR2010
RXN-661	MNXR15997
UER00814	MNXR272
11399	MNXR71280
UER00813	MNXR75316
11398	MNXR71280
REACT_132954	MNXR78809
REACT_132957	MNXR3814
PPPNt2rpp	MNXR4411
rxn03258	MNXR5514
rxn03259	MNXR79685
RXN0-6957	MNXR78011
15779	MNXR6294
4.2.1.103-RXN	MNXR7344
15775	MNXR1537
rxn03251	MNXR68267
rxn03252	MNXR15771
rxn03253	MNXR68269
15771	MNXR495
rxn03255	MNXR6178
15773	MNXR1537
15772	MNXR495
RXN0-6952	MNXR73841
REACT_32949	MNXR1869
REACT_32948	MNXR78653
REACT_32946	MNXR78373
UCR06307	MNXR71038
UCR06306	MNXR74686
UCR06305	MNXR71156
REACT_129560	MNXR78714
UCR06309	MNXR12677
LYXI	MNXR62015
N2tr	MNXR3686
REACT_84995	MNXR62913
REACT_84996	MNXR78348
UCR01827	MNXR35645
UCR01826	MNXR1486
UCR01825	MNXR1822
BS188134	MNXR2793
GLUt7l	MNXR31619
31614	MNXR9574
31615	MNXR61235
31616	MNXR61235
31617	MNXR61235
31610	MNXR9573
31611	MNXR9574
31612	MNXR9574
RXN-10777	MNXR21030
31618	MNXR61235
31619	MNXR61236
34136	MNXR63404
34137	MNXR63404
34134	MNXR77599
34135	MNXR63404
34132	MNXR77599
34133	MNXR77599
34130	MNXR75844
34131	MNXR77599
34138	MNXR63404
UCR02553	MNXR6860
13213	MNXR4910
6.1.1.23-RXN	MNXR61840
REACT_32363	MNXR78502
GLNabcpp	MNXR2704
HYPOE	MNXR3064
13218	MNXR4909
11550	MNXR8359
RXN-7779	MNXR77578
13219	MNXR4909
RXN-7772	MNXR17456
RXN-7773	MNXR9488
RXN-7770	MNXR14803
RXN-7771	MNXR17455
RXN-7777	MNXR77577
RXN-7774	MNXR4004
RXN-7775	MNXR15393
REACT_163245	MNXR1218
RXN-8836	MNXR23483
3.4.21.6-RXN	MNXR61779
RXN0-7014	MNXR78016
RXN0-7012	MNXR78014
RXN0-7013	MNXR78015
RXN0-7010	MNXR63985
3.1.21.5-RXN	MNXR76070
REACT_163241	MNXR79152
ALPHAALPHA-TREHALOSE-PHOSPHORYLASE-RXN	MNXR20122
UGT1A2r	MNXR56016
REACT_25270	MNXR78877
REACT_25276	MNXR1396
ACP-S-ACETYLTRANSFER-RXN	MNXR35617
RXN00905	MNXR70336
RXN00904	MNXR5893
RXN00907	MNXR5896
RXN00906	MNXR32826
RXN00901	MNXR855
RXN00900	MNXR70335
RXN00903	MNXR3256
RXN00902	MNXR10436
REACT_153647	MNXR65061
10490	MNXR2316
CYTDtex	MNXR1378
RXN00908	MNXR5897
rxn01490	MNXR56784
rxn01491	MNXR79539
rxn01492	MNXR69014
BR37110_WOP	MNXR70914
rxn01495	MNXR56732
REACT_152598	MNXR78635
REACT_152599	MNXR78665
REACT_152596	MNXR361
RXN0-6565	MNXR9422
REACT_152594	MNXR78867
REACT_152590	MNXR25136
RXN0-6564	MNXR24335
PAPA_SA	MNXR53715
HMGCOAS	MNXR2982
14978	MNXR6758
QUERCETIN-3-O-METHYLTRANSFERASE-RXN	MNXR7703
16288	MNXR6357
16289	MNXR7298
RXN00521	MNXR70234
BR49167	MNXR71580
BR49166	MNXR71579
BR49165	MNXR1272
BR49164	MNXR9031
BR49163	MNXR9030
BR49162	MNXR9029
BR49161	MNXR71578
BR49160	MNXR71577
REACT_81822	MNXR78321
REACT_154340	MNXR78326
REACT_154343	MNXR37342
REACT_154345	MNXR79047
REACT_154344	MNXR78574
BR49169	MNXR71582
RXN00526	MNXR69413
REACT_121059	MNXR78825
REACT_121058	MNXR78824
RXN00525	MNXR70235
REACT_121051	MNXR78822
REACT_121053	MNXR70699
REACT_121057	MNXR78823
MALONYL-COA-ACP-TRANSACYL-RXN	MNXR69412
16282	MNXR8289
1.2.7.8-RXN	MNXR71320
16283	MNXR8289
RXN-11691	MNXR71462
16284	MNXR8289
HYD1	MNXR69266
NH4tn	MNXR3814
NH4tm	MNXR3814
NH4tp	MNXR3814
rxn01677	MNXR69561
10004	MNXR6764
10005	MNXR6764
10006	MNXR6764
10007	MNXR6764
RXN-11690	MNXR4858
10001	MNXR6617
10002	MNXR6617
10003	MNXR6617
rxn00721	MNXR8328
rxn00720	MNXR1810
rxn00723	MNXR8589
rxn00722	MNXR7495
rxn00725	MNXR7666
rxn00724	MNXR7551
rxn00727	MNXR32743
rxn00726	MNXR729
rxn00729	MNXR9861
rxn00728	MNXR3184
REACT_158995	MNXR78887
REACT_158997	MNXR78376
REACT_120909	MNXR78798
MYCTR	MNXR69507
REACT_120907	MNXR78599
REACT_120901	MNXR2856
rxn01671	MNXR4644
RXN-12826	MNXR22376
RXN-12824	MNXR61256
2-HYDROXYPYRIDINE-5-MONOOXYGENASE-RXN	MNXR75973
rxn01672	MNXR1475
BR29270_WOP	MNXR6895
RXN-11695	MNXR71000
REACT_143625	MNXR78674
REACT_143621	MNXR25584
REACT_87054	MNXR78305
rxn04211	MNXR60087
REACT_143629	MNXR78925
BR29309	MNXR14883
BR29308	MNXR6019
BR29305	MNXR31729
BR29304	MNXR31728
BR29307	MNXR2793
BR29306	MNXR4191
BR29301	MNXR3470
BR29300	MNXR3464
BR29303	MNXR3471
3.4.21.38-RXN	MNXR19885
RXN0-5061	MNXR2942
RXN0-5063	MNXR49860
RXN0-5062	MNXR24190
RXN0-5065	MNXR24192
RXN-9400	MNXR23791
10288	MNXR8351
1.1.1.99-RXN	MNXR6926
rxn04216	MNXR60092
REACT_95881	MNXR12687
REACT_95883	MNXR1870
REACT_161720	MNXR79126
REACT_95885	MNXR78374
REACT_161726	MNXR79124
RXN-9401	MNXR23792
rxn12155	MNXR75479
rxn12154	MNXR75478
rxn12157	MNXR10513
rxn12156	MNXR60836
rxn12151	MNXR60834
rxn12150	MNXR60833
rxn12153	MNXR60835
rxn12152	MNXR18183
rxn12159	MNXR80778
rxn12158	MNXR80777
rxn13206	MNXR226
rxn13207	MNXR68206
rxn13204	MNXR60306
rxn13205	MNXR54914
rxn13202	MNXR29858
rxn13203	MNXR22886
rxn13200	MNXR29857
rxn13201	MNXR29858
REACT_127170	MNXR8242
rxn13208	MNXR68207
rxn13209	MNXR22907
BS370861	MNXR72533
ISOFLAVONE-4-O-METHYLTRANSFERASE-RXN	MNXR20467
15988	MNXR2200
15989	MNXR2981
15986	MNXR2200
15987	MNXR2200
15984	MNXR484
15985	MNXR2200
15982	MNXR484
15983	MNXR484
15980	MNXR7144
15981	MNXR484
BS383005	MNXR72830
BS383004	MNXR6887
BS383001	MNXR33176
BS383003	MNXR12169
BS383002	MNXR6887
BS383009	MNXR12170
REACT_156598	MNXR78873
BS257030_WOP	MNXR10127
REACT_153559	MNXR79106
METDabcpp	MNXR3489
REACT_126332	MNXR78705
REACT_105069	MNXR78553
28807	MNXR31648
28806	MNXR68413
REACT_142999	MNXR2338
28804	MNXR68413
28803	MNXR68413
RXN-11594	MNXR21582
4CMLCL-kt	MNXR68205
28800	MNXR26681
RXN-11595	MNXR57393
rxn12913	MNXR80911
REACT_142995	MNXR78846
28808	MNXR31648
REACT_90938	MNXR78628
12445	MNXR7238
REACT_90932	MNXR15134
12442	MNXR4761
REACT_90930	MNXR78586
12443	MNXR4761
REACT_81452	MNXR78258
REACT_81450	MNXR78364
REACT_81454	MNXR1181
12441	MNXR4761
28799	MNXR26681
rxn12097	MNXR67703
MM6B1bg	MNXR69471
REACT_142318	MNXR78877
rxn12092	MNXR60804
SUCCt3	MNXR4949
10857	MNXR56928
10856	MNXR56928
10855	MNXR71500
10854	MNXR71500
10853	MNXR71500
10852	MNXR71500
BR37068	MNXR4517
REACT_118117	MNXR506
RXN1G-4142	MNXR38027
RXN1G-4143	MNXR38028
RXN1G-4140	MNXR38025
RXN1G-4141	MNXR38026
RXN-5603	MNXR77505
19533	MNXR4763
19532	MNXR56857
19531	MNXR56857
19530	MNXR56857
19537	MNXR33003
19536	MNXR4763
19535	MNXR4763
19534	MNXR4763
SUCCtm	MNXR4950
19539	MNXR33003
19538	MNXR33003
REACT_106366	MNXR78553
REACT_106367	MNXR345
AHSERL2	MNXR68325
SUCCtp	MNXR4953
R608-RXN	MNXR74458
28795	MNXR5747
RXN-8180	MNXR59701
RXN-8181	MNXR77651
BR44131	MNXR71073
BR44130	MNXR389
BR44137	MNXR71075
BR44136	MNXR56855
RXN-8186	MNXR77654
BR44134	MNXR71074
