Reaction ID	Reaction name	Lower bound	Reaction equation	GPR	Pathway
ADOCBLS	Adenosylcobalamin 5'-phosphate synthase	0.0	1.0 rdmbzi_c + 1.0 agdpcbi_c -> 1.0 adocbl_c + 1.0 gmp_c + 1.0 h_c	(SAP1_RS31120)	Cofactor and Prosthetic Group Biosynthesis
AHMMPS	4-amino-5-hydroxymethyl-2-methylpyrimidine synthetase	0.0	2.0 h_c + 1.0 air_c -> 1.0 pi_c + 1.0 4ahmmp_c + 1.0 gcald_c	(SAP1_RS22130)	Cofactor and Prosthetic Group Biosynthesis
AKP1	alkaline phosphatase (Dihydroneopterin)	0.0	3.0 h2o_c + 1.0 ahdt_c -> 1.0 dhnpt_c + 3.0 pi_c + 2.0 h_c	(SAP1_RS30570 or SAP1_RS31700 or SAP1_RS30570 or SAP1_RS31700)	Cofactor and Prosthetic Group Biosynthesis
ALATA_D2	D-alanine transaminase	0.0	1.0 ala_DASH_D_c + 1.0 pydx5p_c -> 1.0 pyr_c + 1.0 pyam5p_c	(SAP1_RS07935 or SAP1_RS14495 or SAP1_RS17750 or SAP1_RS15155)	Cofactor and Prosthetic Group Biosynthesis
ALATA_L2	alanine transaminase	0.0	1.0 ala_DASH_L_c + 1.0 pydx5p_c -> 1.0 pyam5p_c + 1.0 pyr_c	(SAP1_RS07935 or SAP1_RS14495 or SAP1_RS17750 or SAP1_RS15155)	Cofactor and Prosthetic Group Biosynthesis
AMAOTr	adenosylmethionine-8-amino-7-oxononanoate transaminase	-1000.0	1.0 8aonn_c + 1.0 amet_c <=> 1.0 dann_c + 1.0 amob_c	(SAP1_RS23595 or SAP1_RS17755 or SAP1_RS13645 or SAP1_RS36525)	Cofactor and Prosthetic Group Biosynthesis
AMMQLT9	S-adenosylmethione:2-demthylmenaquinole methyltransferase (menaquinone 9)	0.0	1.0 amet_c + 1.0 2dmmql9_c -> 1.0 ahcys_c + 1.0 h_c + 1.0 mql9_c	(SAP1_RS25010)	Cofactor and Prosthetic Group Biosynthesis
AOXSr2	8-amino-7-oxononanoate synthase	0.0	1.0 ala_DASH_L_c + 1.0 pimACP_c -> 1.0 8aonn_c + 1.0 ACP_c + 1.0 co2_c	(SAP1_RS08655 or SAP1_RS00965 or SAP1_RS36535)	Cofactor and Prosthetic Group Biosynthesis
APRAUR	5-amino-6-(5-phosphoribosylamino)uracil reductase	0.0	1.0 5apru_c + 1.0 nadph_c + 1.0 h_c -> 1.0 nadp_c + 1.0 5aprbu_c	(SCO2688 or SAP1_RS11615)	Cofactor and Prosthetic Group Biosynthesis
ASP1DC	aspartate 1-decarboxylase	0.0	1.0 asp_DASH_L_c + 1.0 h_c -> 1.0 ala_DASH_B_c + 1.0 co2_c	((SAP1_RS37325 and SAP1_RS24120 and SAP1_RS18665))	Cofactor and Prosthetic Group Biosynthesis
ASPO5	L-aspartate oxidase	0.0	1.0 fum_c + 1.0 asp_DASH_L_c -> 1.0 succ_c + 1.0 iasp_c + 1.0 h_c	(SAP1_RS24285 or SAP1_RS17635 or SAP1_RS16530)	Cofactor and Prosthetic Group Biosynthesis
ASPO6	L-aspartate oxidase	0.0	1.0 o2_c + 1.0 asp_DASH_L_c -> 1.0 h2o2_c + 1.0 iasp_c + 1.0 h_c	(SAP1_RS24285 or SAP1_RS17635 or SAP1_RS16530)	Cofactor and Prosthetic Group Biosynthesis
BACCL	biotin-[acetyl-CoA-carboxylase] ligase	0.0	1.0 btn_c + 1.0 h_c + 1.0 atp_c -> 1.0 btamp_c + 1.0 ppi_c	(SAP1_RS17300)	Cofactor and Prosthetic Group Biosynthesis
BMOCOS	bis-molybdenum cofactor synthase	0.0	1.0 moco_c + 1.0 mptamp_c -> 1.0 cu2_c + 1.0 bmoco_c + 1.0 amp_c	(SAP1_RS19030)	Cofactor and Prosthetic Group Biosynthesis
BMOGDS1	bis-molybdopterin guanine dinucleotide synthase (single GDP)	0.0	1.0 gtp_c + 1.0 h_c + 1.0 bmoco_c -> 1.0 bmoco1gdp_c + 1.0 ppi_c	(SAP1_RS22645)	Cofactor and Prosthetic Group Biosynthesis
BMOGDS2	bis-molybdopterin guanine dinucleotide synthase	0.0	1.0 bmoco1gdp_c + 1.0 gtp_c + 1.0 h_c -> 1.0 ppi_c + 1.0 bmocogdp_c	(SAP1_RS22645)	Cofactor and Prosthetic Group Biosynthesis
BTS5	Biotin synthase	0.0	1.0 amet_c + 1.0 2fe2s_c + 1.0 dtbt_c -> 1.0 2fe1s_c + 1.0 btn_c + 1.0 dad_DASH_5_c + 1.0 h_c + 1.0 met_DASH_L_c	(SAP1_RS36530)	Cofactor and Prosthetic Group Biosynthesis
BWCOGDS1	tungsten bispterin guanine dinucleotide synthase (single GDP)	0.0	1.0 bwco_c + 1.0 gtp_c + 1.0 h_c -> 1.0 ppi_c + 1.0 bwco1gdp_c	(SAP1_RS22645)	Cofactor and Prosthetic Group Biosynthesis
BWCOGDS2	tungsten bispterin guanine dinucleotide synthase	0.0	1.0 gtp_c + 1.0 h_c + 1.0 bwco1gdp_c -> 1.0 ppi_c + 1.0 bwcogdp_c	(SAP1_RS22645)	Cofactor and Prosthetic Group Biosynthesis
BWCOS	tungsten bispterin cofactor synthase	0.0	1.0 wco_c + 1.0 mptamp_c -> 1.0 cu2_c + 1.0 bwco_c + 1.0 amp_c	(SAP1_RS19030)	Cofactor and Prosthetic Group Biosynthesis
CBIAT	Cobinamide adenyltransferase	-1000.0	1.0 cbi_c + 1.0 h_c + 1.0 atp_c <=> 1.0 pppi_c + 1.0 adocbi_c	(SAP1_RS33065)	Cofactor and Prosthetic Group Biosynthesis
CDPMEK	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	0.0	1.0 4c2me_c + 1.0 atp_c -> 1.0 2p4c2me_c + 1.0 h_c + 1.0 adp_c	(SAP1_RS18590)	Cofactor and Prosthetic Group Biosynthesis
CFL	chorismate futalosine-lyase	0.0	1.0 pep_c + 1.0 chor_c + 1.0 h_c + 1.0 ins_c -> 1.0 pyr_c + 1.0 h2o_c + 1.0 co2_c + 1.0 pi_c + 1.0 futal_c	(SAP1_RS24960)	Cofactor and Prosthetic Group Biosynthesis
CIGAMS	cys-1L-myo-inositol 2-deoxy-D-glucopyranoside synthase	0.0	1.0 cys_DASH_L_c + 1.0 igam_c + 1.0 atp_c -> 1.0 cigam_c + 1.0 ppi_c + 2.0 h_c + 1.0 amp_c	(SAP1_RS20555 or SAP1_RS34245)	Cofactor and Prosthetic Group Biosynthesis
COCHL	cobaltochelatase	0.0	1.0 hgbam_c + 1.0 h2o_c + 1.0 atp_c + 1.0 cobalt2_c -> 1.0 co2dam_c + 1.0 pi_c + 2.0 h_c + 1.0 adp_c	(SAP1_RS33075)	Cofactor and Prosthetic Group Biosynthesis
CPC2MT	cobalt-precorrin-2 C20-methyltransferase	0.0	1.0 amet_c + 1.0 copre2_c -> 1.0 ahcys_c + 1.0 h_c + 1.0 copre3_c	(SAP1_RS33055)	Cofactor and Prosthetic Group Biosynthesis
CPC3MT	cobalt-precorrin-3B C17-methyltransferase	0.0	1.0 amet_c + 1.0 copre3_c -> 1.0 ahcys_c + 1.0 copre4_c	(SAP1_RS33035)	Cofactor and Prosthetic Group Biosynthesis
CPC4MT	cobalt-precorrin-4 C11-methyltransferase	0.0	1.0 amet_c + 1.0 copre4_c -> 1.0 ahcys_c + 1.0 copre5_c + 1.0 h_c	(SAP1_RS33045)	Cofactor and Prosthetic Group Biosynthesis
CPC5MT	cobalt-precorrin-5 C1-methyltransferase	0.0	1.0 amet_c + 1.0 h2o_c + 1.0 copre5_c -> 1.0 acald_c + 1.0 ahcys_c + 1.0 copre6_c + 1.0 h_c	(SAP1_RS33035)	Cofactor and Prosthetic Group Biosynthesis
CPC6R	cobalt-precorrin-6A reductase	0.0	1.0 copre6_c + 1.0 nadph_c + 1.0 h_c -> 1.0 nadp_c + 1.0 codhpre6_c	(SAP1_RS08520)	Cofactor and Prosthetic Group Biosynthesis
CPMPS	cyclic pyranopterin monophosphate synthase	0.0	1.0 h2o_c + 1.0 gtp_c -> 1.0 ppi_c + 1.0 cpmp_c	((SAP1_RS33275 and SAP1_RS19025))	Cofactor and Prosthetic Group Biosynthesis
CPPPGO2	Oxygen Independent coproporphyrinogen-III oxidase	0.0	2.0 amet_c + 1.0 cpppg3_c -> 2.0 co2_c + 2.0 dad_DASH_5_c + 1.0 pppg9_c + 2.0 met_DASH_L_c	(SAP1_RS28805)	Cofactor and Prosthetic Group Biosynthesis
CYRDAAT	cob(I)yrinic acid a,c-diamide adenosyltransferase	0.0	1.0 h_c + 1.0 atp_c + 1.0 co1dam_c -> 1.0 pppi_c + 1.0 adcobdam_c	(SAP1_RS33065)	Cofactor and Prosthetic Group Biosynthesis
CYRDAR	cob(II)yrinic acid a,c-diamide reductase	0.0	2.0 co2dam_c + 1.0 nadh_c -> 1.0 h_c + 1.0 nad_c + 2.0 co1dam_c	()	Cofactor and Prosthetic Group Biosynthesis
CYRDAS	Cob(II)yrinate a,c-diamide synthase (glutamine-hydrolysing)	0.0	1.0 h2o_c + 1.0 cobya_c + 2.0 atp_c + 2.0 gln_DASH_L_c -> 1.0 co2dam_c + 2.0 glu_DASH_L_c + 1.0 ppi_c + 1.0 h_c + 2.0 adp_c	(SAP1_RS33060)	Cofactor and Prosthetic Group Biosynthesis
DB4PS	3,4-Dihydroxy-2-butanone-4-phosphate synthase	0.0	1.0 ru5p_DASH_D_c -> 1.0 db4p_c + 1.0 for_c + 1.0 h_c	(SAP1_RS03240 or SAP1_RS35570 or SAP1_RS21340 or SAP1_RS09480)	Cofactor and Prosthetic Group Biosynthesis
DBTS	dethiobiotin synthase	0.0	1.0 co2_c + 1.0 dann_c + 1.0 atp_c -> 1.0 pi_c + 1.0 adp_c + 1.0 dtbt_c + 3.0 h_c	(SAP1_RS36520)	Cofactor and Prosthetic Group Biosynthesis
DHFR	dihydrofolate reductase	-1000.0	1.0 nadph_c + 1.0 dhf_c + 1.0 h_c <=> 1.0 nadp_c + 1.0 thf_c	()	Cofactor and Prosthetic Group Biosynthesis
DHFS	dihydrofolate synthase	0.0	1.0 dhpt_c + 1.0 glu_DASH_L_c + 1.0 atp_c -> 1.0 pi_c + 1.0 h_c + 1.0 adp_c + 1.0 dhf_c	(SAP1_RS28210)	Cofactor and Prosthetic Group Biosynthesis
DHFUTALS	de-hypoxanthine futalosine synthase	0.0	1.0 dhfutal_c + 1.0 nad_c -> 1.0 nadh_c + 1.0 h_c + 1.0 cdhfutal_c	(SAP1_RS19685 or SAP1_RS24920 or SAP1_RS24980)	Cofactor and Prosthetic Group Biosynthesis
DHNAI	1,4-dihydroxynaphthoate isomerization (hypothetical reaction)	0.0	1.0 dh6na_c -> 1.0 dhna_c	()	Cofactor and Prosthetic Group Biosynthesis
DHNANT4	1,4-dihydroxy-2-naphthoate nonaprenyltransferase	0.0	1.0 nndp_c + 1.0 dhna_c + 1.0 h_c -> 1.0 ppi_c + 1.0 co2_c + 1.0 2dmmql9_c	()	Cofactor and Prosthetic Group Biosynthesis
DHNAS	1,4-dihydroxy-6-naphthoate synthase	0.0	1.0 cdhfutal_c -> 1.0 dh6na_c + 1.0 glyald_c	(SAP1_RS20240)	Cofactor and Prosthetic Group Biosynthesis
DHNPA2r	dihydroneopterin aldolase reversible	-1000.0	1.0 dhnpt_c <=> 1.0 6hmhpt_c + 1.0 gcald_c	(SAP1_RS24195)	Cofactor and Prosthetic Group Biosynthesis
DHNPTE	Dihydroneopterin epimerase	-1000.0	1.0 dhnpt_c <=> 1.0 dhmpt_c	(SAP1_RS24195)	Cofactor and Prosthetic Group Biosynthesis
DHPPDA2	diaminohydroxyphosphoribosylaminopryrimidine deaminase (25drapp)	0.0	1.0 h2o_c + 1.0 h_c + 1.0 25drapp_c -> 1.0 5apru_c + 1.0 nh4_c	(SCO2688)	Cofactor and Prosthetic Group Biosynthesis
DHPS2	dihydropteroate synthase	0.0	1.0 6hmhptpp_c + 1.0 4abz_c -> 1.0 dhpt_c + 1.0 ppi_c	(SAP1_RS24205)	Cofactor and Prosthetic Group Biosynthesis
DMATT	dimethylallyltranstransferase	0.0	1.0 dmpp_c + 1.0 ipdp_c -> 1.0 ppi_c + 1.0 grdp_c	(SAP1_RS05630 or SAP1_RS15620 or SAP1_RS15665 or SAP1_RS06165 or SAP1_RS08775)	Cofactor and Prosthetic Group Biosynthesis
DMBZIDS	5,6-dimethylbenzimidazole synthase	0.0	1.0 fmnh2_c + 1.0 o2_c -> 1.0 dmbzid_c + 1.0 e4p_c + 1.0 dalua_c	()	Cofactor and Prosthetic Group Biosynthesis
DMPPS	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (dmpp)	0.0	1.0 nadh_c + 1.0 h_c + 1.0 h2mb4p_c -> 1.0 dmpp_c + 1.0 h2o_c + 1.0 nad_c	(SAP1_RS16685)	Cofactor and Prosthetic Group Biosynthesis
DNADDP	Deaminido NAD diphosphatase	0.0	1.0 dnad_c + 1.0 h2o_c -> 1.0 nicrnt_c + 2.0 h_c + 1.0 amp_c	(SAP1_RS16010)	Cofactor and Prosthetic Group Biosynthesis
DPCOAK	dephospho-CoA kinase	0.0	1.0 dpcoa_c + 1.0 atp_c -> 1.0 coa_c + 1.0 h_c + 1.0 adp_c	(SAP1_RS32180)	Cofactor and Prosthetic Group Biosynthesis
DPR	2-dehydropantoate 2-reductase	0.0	1.0 nadph_c + 1.0 h_c + 1.0 2dhp_c -> 1.0 nadp_c + 1.0 pant_DASH_R_c	(SAP1_RS09700)	Cofactor and Prosthetic Group Biosynthesis
DXPRIi	1-deoxy-D-xylulose reductoisomerase	0.0	1.0 dxyl5p_c + 1.0 nadph_c + 1.0 h_c -> 1.0 2me4p_c + 1.0 nadp_c	(SAP1_RS13410)	Cofactor and Prosthetic Group Biosynthesis
DXPS	1-deoxy-D-xylulose 5-phosphate synthase	0.0	1.0 pyr_c + 1.0 g3p_c + 1.0 h_c -> 1.0 dxyl5p_c + 1.0 co2_c	(SAP1_RS10005 or SAP1_RS11800 or SAP1_RS08750)	Cofactor and Prosthetic Group Biosynthesis
DXYLK	1-Deoxy-D-xylulose kinase	0.0	1.0 atp_c + 1.0 dxyl_c -> 1.0 dxyl5p_c + 1.0 h_c + 1.0 adp_c	(SAP1_RS36985)	Cofactor and Prosthetic Group Biosynthesis
E4PD	Erythrose 4-phosphate dehydrogenase	-1000.0	1.0 e4p_c + 1.0 h2o_c + 1.0 nad_c <=> 1.0 4per_c + 1.0 nadh_c + 2.0 h_c	(SAP1_RS32480 or SAP1_RS15590 or SAP1_RS32480 or SAP1_RS15590)	Cofactor and Prosthetic Group Biosynthesis
EGMEACPR	Enoylglutaryl-[ACP] methyl ester reductase	0.0	1.0 egmeACP_c + 1.0 nadph_c + 1.0 h_c -> 1.0 gmeACP_c + 1.0 nadp_c	(SAP1_RS12040 or SAP1_RS33315)	Cofactor and Prosthetic Group Biosynthesis
EPMEACPR	Enoylpimeloyl-[ACP] methyl ester reductase	0.0	1.0 epmeACP_c + 1.0 nadph_c + 1.0 h_c -> 1.0 pmeACP_c + 1.0 nadp_c	(SAP1_RS12040 or SAP1_RS33315)	Cofactor and Prosthetic Group Biosynthesis
FADRx2	FAD reductase	0.0	1.0 nadph_c + 1.0 h_c + 1.0 fad_c -> 1.0 fadh2_c + 1.0 nadp_c	(SAP1_RS11210)	Cofactor and Prosthetic Group Biosynthesis
FCLT	Ferrochelatase	0.0	1.0 fe2_c + 1.0 ppp9_c -> 2.0 h_c + 1.0 pheme_c	(SAP1_RS12605)	Cofactor and Prosthetic Group Biosynthesis
FLVR	flavin reductase	0.0	1.0 nadph_c + 1.0 h_c + 1.0 ribflv_c -> 1.0 rbflvrd_c + 1.0 nadp_c	(SAP1_RS11210)	Cofactor and Prosthetic Group Biosynthesis
FMNAT	FMN adenylyltransferase	0.0	1.0 fmn_c + 1.0 h_c + 1.0 atp_c -> 1.0 ppi_c + 1.0 fad_c	(SAP1_RS13320)	Cofactor and Prosthetic Group Biosynthesis
FMNRx	FMN reductase	0.0	1.0 nadh_c + 1.0 fmn_c + 1.0 h_c -> 1.0 fmnh2_c + 1.0 nad_c	(SAP1_RS24680)	Cofactor and Prosthetic Group Biosynthesis
FMNRx2	FMN reductase	0.0	1.0 nadph_c + 1.0 fmn_c + 1.0 h_c -> 1.0 fmnh2_c + 1.0 nadp_c	(SAP1_RS24680)	Cofactor and Prosthetic Group Biosynthesis
FRTT	farnesyltranstransferase	0.0	1.0 ipdp_c + 1.0 frdp_c -> 1.0 ppi_c + 1.0 ggdp_c	(SAP1_RS05630 or SAP1_RS15620 or SAP1_RS15665 or SAP1_RS06165 or SAP1_RS08775)	Cofactor and Prosthetic Group Biosynthesis
FUTALH	futalosine hydrolase	0.0	1.0 h2o_c + 1.0 futal_c -> 1.0 hxan_c + 1.0 dhfutal_c	(SAP1_RS20235)	Cofactor and Prosthetic Group Biosynthesis
G1SAT	glutamate-1-semialdehyde aminotransferase	-1000.0	1.0 glu1sa_c <=> 1.0 5aop_c	(SAP1_RS24830)	Cofactor and Prosthetic Group Biosynthesis
GDPDPK	GDP diphosphokinase	0.0	1.0 gdp_c + 1.0 atp_c -> 1.0 ppgpp_c + 1.0 h_c + 1.0 amp_c	(SAP1_RS35250 or SAP1_RS12930)	Cofactor and Prosthetic Group Biosynthesis
GDPTPDP	guanosine 3'-diphosphate 5'-triphosphate 3'-diphosphatase	0.0	1.0 gdptp_c + 1.0 h2o_c -> 1.0 ppi_c + 1.0 gtp_c	(SAP1_RS35250 or SAP1_RS12930)	Cofactor and Prosthetic Group Biosynthesis
GGTT	geranylgeranyltranstransferase	0.0	1.0 ggdp_c + 1.0 ipdp_c -> 1.0 ppi_c + 1.0 ppdp_c	(SAP1_RS25180 or SAP1_RS15620 or SAP1_RS08775)	Cofactor and Prosthetic Group Biosynthesis
GLUTRR	glutamyl-tRNA reductase	0.0	1.0 glutrna_c + 1.0 nadph_c + 1.0 h_c -> 1.0 nadp_c + 1.0 glu1sa_c + 1.0 trnaglu_c	(SAP1_RS24555)	Cofactor and Prosthetic Group Biosynthesis
GLUTRS	Glutamyl-tRNA synthetase	0.0	1.0 glu_DASH_L_c + 1.0 trnaglu_c + 1.0 atp_c -> 1.0 glutrna_c + 1.0 ppi_c + 1.0 amp_c	(SAP1_RS14075)	Cofactor and Prosthetic Group Biosynthesis
GRTT	geranyltranstransferase	0.0	1.0 ipdp_c + 1.0 grdp_c -> 1.0 ppi_c + 1.0 frdp_c	(SAP1_RS05630 or SAP1_RS15620 or SAP1_RS15665 or SAP1_RS06165 or SAP1_RS08775)	Cofactor and Prosthetic Group Biosynthesis
GTHRDH	glutathione hydralase	0.0	1.0 h2o_c + 1.0 gthrd_c -> 1.0 glu_DASH_L_c + 1.0 cgly_c	(SAP1_RS10350 or SAP1_RS10250 or SAP1_RS10350 or SAP1_RS10250)	Cofactor and Prosthetic Group Biosynthesis
GTPCI	GTP cyclohydrolase I	0.0	1.0 h2o_c + 1.0 gtp_c -> 1.0 h_c + 1.0 for_c + 1.0 ahdt_c	(SAP1_RS24180)	Cofactor and Prosthetic Group Biosynthesis
GTPCII2	GTP cyclohydrolase II (25drapp)	0.0	3.0 h2o_c + 1.0 gtp_c -> 1.0 ppi_c + 1.0 25drapp_c + 1.0 for_c + 2.0 h_c	(SAP1_RS03240 or SAP1_RS35570 or SAP1_RS21340 or SAP1_RS09480)	Cofactor and Prosthetic Group Biosynthesis
GTPCIII2	GTP cyclohydrolase III (2a5farapp)	0.0	2.0 h2o_c + 1.0 gtp_c -> 1.0 ppi_c + 1.0 2a5farapp_c + 1.0 h_c	(SAP1_RS03240 or SAP1_RS35570 or SAP1_RS21340 or SAP1_RS09480)	Cofactor and Prosthetic Group Biosynthesis
GTPDPDP	guanosine-5'-triphosphate,3'-diphosphate diphosphatase	0.0	1.0 gdptp_c + 1.0 h2o_c -> 1.0 ppgpp_c + 1.0 pi_c + 1.0 h_c	(SAP1_RS18305)	Cofactor and Prosthetic Group Biosynthesis
GTPDPK	GTP diphosphokinase	0.0	1.0 gtp_c + 1.0 atp_c -> 1.0 gdptp_c + 1.0 h_c + 1.0 amp_c	(SAP1_RS35250 or SAP1_RS12930)	Cofactor and Prosthetic Group Biosynthesis
HBADAS	hydrogenobyrinic acid a,c-diamide synthase (glutamine-hydrolysing)	0.0	1.0 h2o_c + 1.0 hgbyr_c + 2.0 atp_c + 2.0 gln_DASH_L_c -> 1.0 hgbam_c + 2.0 glu_DASH_L_c + 1.0 ppi_c + 2.0 adp_c + 2.0 h_c	(SAP1_RS33060)	Cofactor and Prosthetic Group Biosynthesis
HEMEAS	Heme A synthase	0.0	1.0 h2o_c + 1.0 hemeO_c -> 1.0 hemeA_c + 4.0 h_c	(SAP1_RS32600)	Cofactor and Prosthetic Group Biosynthesis
HEMEOS	Heme O synthase	0.0	1.0 h2o_c + 1.0 frdp_c + 1.0 pheme_c -> 1.0 ppi_c + 1.0 hemeO_c	(SAP1_RS32580)	Cofactor and Prosthetic Group Biosynthesis
HEPTT	trans-hexaprenyltranstransferase	0.0	1.0 ipdp_c + 1.0 hepdp_c -> 1.0 ppi_c + 1.0 octdp_c	(SAP1_RS25180 or SAP1_RS15620 or SAP1_RS08775)	Cofactor and Prosthetic Group Biosynthesis
HEXTT	trans-hexaprenyltranstransferase	0.0	1.0 ipdp_c + 1.0 hexdp_c -> 1.0 ppi_c + 1.0 hepdp_c	(SAP1_RS25180 or SAP1_RS15620 or SAP1_RS08775)	Cofactor and Prosthetic Group Biosynthesis
HMBS	hydroxymethylbilane synthase	0.0	4.0 ppbng_c + 1.0 h2o_c -> 1.0 hmbil_c + 4.0 nh4_c	(SAP1_RS24560 or SAP1_RS05710)	Cofactor and Prosthetic Group Biosynthesis
HMPK1	hydroxymethylpyrimidine kinase (ATP)	0.0	1.0 4ahmmp_c + 1.0 atp_c -> 1.0 4ampm_c + 1.0 h_c + 1.0 adp_c	(SAP1_RS37120)	Cofactor and Prosthetic Group Biosynthesis
HMPK2	hydroxymethylpyrimidine kinase (CTP)	0.0	1.0 ctp_c + 1.0 4ahmmp_c -> 1.0 cdp_c + 1.0 4ampm_c + 1.0 h_c	(SAP1_RS37120)	Cofactor and Prosthetic Group Biosynthesis
HMPK3	hydroxymethylpyrimidine kinase (UTP)	0.0	1.0 utp_c + 1.0 4ahmmp_c -> 1.0 4ampm_c + 1.0 udp_c + 1.0 h_c	(SAP1_RS37120)	Cofactor and Prosthetic Group Biosynthesis
HMPK4	hydroxymethylpyrimidine kinase (GTP)	0.0	1.0 gtp_c + 1.0 4ahmmp_c -> 1.0 4ampm_c + 1.0 gdp_c + 1.0 h_c	(SAP1_RS37120)	Cofactor and Prosthetic Group Biosynthesis
HPPK2	6-hydroxymethyl-dihydropterin pyrophosphokinase	0.0	1.0 6hmhpt_c + 1.0 atp_c -> 1.0 6hmhptpp_c + 1.0 h_c + 1.0 amp_c	(SAP1_RS24190)	Cofactor and Prosthetic Group Biosynthesis
IACGAMS2	1L-myo-inositol 2-Acetamido-2-deoxy-D-glucopyranoside synthesis (UDP-GlcNAc)	0.0	1.0 uacgam_c + 1.0 mi1p_DASH_L_c + 1.0 h2o_c -> 1.0 udp_c + 1.0 pi_c + 1.0 iacgam_c + 1.0 h_c	(SAP1_RS20730)	Cofactor and Prosthetic Group Biosynthesis
ICYSDS	ISC/NIF Cysteine desulfuration	0.0	1.0 cys_DASH_L_c + 1.0 iscs_c -> 1.0 ala_DASH_L_c + 1.0 iscssh_c	(SAP1_RS15305 or SAP1_RS31220 or SAP1_RS14395)	Cofactor and Prosthetic Group Biosynthesis
IGAMD	1L-myo-inositol 2-Acetamido-2-deoxy-D-glucopyranoside deacetylase	0.0	1.0 h2o_c + 1.0 iacgam_c -> 1.0 ac_c + 1.0 igam_c	(SAP1_RS16320)	Cofactor and Prosthetic Group Biosynthesis
IPDDI	isopentenyl-diphosphate D-isomerase	-1000.0	1.0 ipdp_c <=> 1.0 dmpp_c	(SAP1_RS08835)	Cofactor and Prosthetic Group Biosynthesis
IPDPS	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (ipdp)	0.0	1.0 nadh_c + 1.0 h_c + 1.0 h2mb4p_c -> 1.0 h2o_c + 1.0 ipdp_c + 1.0 nad_c	(SAP1_RS16685)	Cofactor and Prosthetic Group Biosynthesis
LIPOCT	Lipoyl(octanoyl) transferase	0.0	1.0 ocACP_c + 1.0 h_c -> 1.0 ACP_c + 1.0 octapb_c	(SAP1_RS31045)	Cofactor and Prosthetic Group Biosynthesis
LIPOS	Lipoate synthase	0.0	2.0 amet_c + 1.0 4fe4s_c + 1.0 nad_c + 1.0 octapb_c -> 2.0 dad_DASH_5_c + 2.0 met_DASH_L_c + 2.0 fe2_c + 1.0 2fe2s_c + 1.0 nadh_c + 1.0 lipopb_c	(SAP1_RS31040)	Cofactor and Prosthetic Group Biosynthesis
MALACPMT	Malonyl-[ACP] methyltransferase	0.0	1.0 amet_c + 1.0 malACP_c -> 1.0 ahcys_c + 1.0 malACPme_c	()	Cofactor and Prosthetic Group Biosynthesis
MECDPDH2	2C-methyl-D-erythritol 2,4 cyclodiphosphate dehydratase	0.0	1.0 2mecdp_c + 1.0 nadh_c -> 1.0 h2o_c + 1.0 h2mb4p_c + 1.0 nad_c	(SAP1_RS13400 or SAP1_RS08755)	Cofactor and Prosthetic Group Biosynthesis
MECDPS	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	0.0	1.0 2p4c2me_c -> 1.0 2mecdp_c + 1.0 cmp_c	(SAP1_RS20560)	Cofactor and Prosthetic Group Biosynthesis
MEPCT	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	0.0	1.0 ctp_c + 1.0 2me4p_c + 1.0 h_c -> 1.0 ppi_c + 1.0 4c2me_c	(SAP1_RS20565)	Cofactor and Prosthetic Group Biosynthesis
MOADSUx	MoaD sulfuration (nadh, assumed)	0.0	1.0 moadamp_c + 1.0 nadh_c + 1.0 iscssh_c -> 1.0 moadcosh_c + 1.0 nad_c + 1.0 amp_c + 1.0 iscs_c	((SAP1_RS15935 and SAP1_RS15305 and SAP1_RS31220 and SAP1_RS14395))	Cofactor and Prosthetic Group Biosynthesis
MOCOS	molybdenum cofactor synthase	0.0	2.0 h_c + 1.0 mobd_c + 1.0 mptamp_c -> 1.0 cu2_c + 1.0 moco_c + 1.0 amp_c + 1.0 h2o_c	(SAP1_RS19030)	Cofactor and Prosthetic Group Biosynthesis
MOGDS	molybdopterin guanine dinucleotide synthase	0.0	1.0 moco_c + 1.0 gtp_c + 1.0 h_c -> 1.0 ppi_c + 1.0 mocogdp_c	(SAP1_RS22645)	Cofactor and Prosthetic Group Biosynthesis
MOHMT	3-methyl-2-oxobutanoate hydroxymethyltransferase	0.0	1.0 h2o_c + 1.0 mlthf_c + 1.0 3mob_c -> 1.0 thf_c + 1.0 2dhp_c	(SAP1_RS30705)	Cofactor and Prosthetic Group Biosynthesis
MPTAT	molybdopterin adenylyltransferase	0.0	1.0 mpt_c + 1.0 h_c + 1.0 atp_c -> 1.0 ppi_c + 1.0 mptamp_c	(SAP1_RS19020)	Cofactor and Prosthetic Group Biosynthesis
MPTS	molybdopterin synthase	0.0	2.0 moadcosh_c + 1.0 cu2_c + 1.0 cpmp_c -> 1.0 mpt_c + 5.0 h_c + 2.0 moadcoo_c	(SAP1_RS15935)	Cofactor and Prosthetic Group Biosynthesis
MPTSS	molybdopterin synthase sulfurylase	0.0	1.0 h_c + 1.0 atp_c + 1.0 moadcoo_c -> 1.0 moadamp_c + 1.0 ppi_c	(SAP1_RS16050)	Cofactor and Prosthetic Group Biosynthesis
